Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
E?zo,4,"[AA, a, aaa, aaaA]","[3, 1, 1, 1]",0.027846700002555735,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 1.0, 0, 0, 0], [1.0, 1.0, 1.0, 0.0, 0, 0]]",4,"[aB, AAA, bbbB, b]","[3, 1, 1, 1]","[[[0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0, 0, 0], [1.0, 1.0, 1.0, 0.0, 0, 0]]]",2,,,,True,0.7400669000053313,1.4389245999918785
E?zw,4,"[AA, a, aaaA, aaaaA]","[3, 1, 1, 1]",0.03070270000898745,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 1.0, 0, 0, -0.0], [1.0, 1.0, 1.0, 0.0, 1.0, 0]]",4,"[aB, AAbBB, Abbb, b]","[3, 1, 1, 1]","[[[0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 0.0, 0, 0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0]]]",2,,,,True,0.9195610000024317,2.3659042000072077
E?~o,2,"[AA, aaaa]","[4, 2]",0.012624999988474883,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 1.0, 1.0, 0, 0], [1.0, 1.0, 1.0, 1.0, 0, 0]]",3,"[aB, AAAb, Abbb]","[4, 1, 1]","[[[0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, -0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, -0.0, 1.0, 0, 0], [-0.0, -0.0, 1.0, -0.0, 0, 0]]]",2,,,,True,0.3385280999937095,0.8166887999977916
E?~w,3,"[AA, aaaaA, aaaaa]","[4, 1, 1]",0.03133150000940077,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 1.0, 1.0, 0, -0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0]]",3,"[aB, AAbbb, AAbbB]","[4, 1, 1]","[[[0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0.0], [1.0, 1.0, 0.0, -0.0, 0, 0.0], [-0.0, 0.0, 1.0, 1.0, 1.0, 0]]]",2,,,,True,0.35956440000154544,1.0488464999943972
ECR_,3,"[AA, a, aaA]","[2, 3, 1]",0.01642369999899529,"[[0, 0, 0, 0.0, 0, -0.0], [0, 0, 0, 0, 0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0], [0, 1.0, 0, 0, 0, 0], [1.0, 1.0, 0.0, 0, 0, 0]]",3,"[a, Ab, ABB]","[3, 2, 1]","[[[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0], [0, 1.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0]], [[0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0], [0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0]]]",2,,,,True,0.09682279999833554,0.4018909000005806
ECRo,3,"[a, aAAA, aA]","[2, 1, 3]",0.01998230000026524,"[[0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0, 0, 0, 0, 1.0], [0, 1.0, 0, 0, 0, 0], [1.0, 0.0, 0.0, 0.0, 0, 0]]",4,"[aC, ABBc, bc, C]","[1, 1, 2, 2]","[[[0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 1.0], [0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [1.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 1.0, 0.0, 0, 0]]]",3,,,,True,6.4094321000011405,87.01307079999242
ECRw,3,"[aA, aaAAA, a]","[4, 1, 1]",0.019378299999516457,"[[0, 0, 0, -0.0, 0, 1.0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, -0.0], [0, 1.0, 0, 0, 0, -0.0], [0.0, 0.0, 0.0, 1.0, 1.0, 0]]",4,"[aB, AB, bbbbb, B]","[2, 2, 1, 1]","[[[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [1.0, 0, 0, 0, 0, 0.0], [0, -0.0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0, 0, 0, 0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0]]]",2,,,,True,0.8524086999968858,0.3631482000055257
ECYW,3,"[aA, aAA, a]","[2, 2, 2]",0.01778840000042692,"[[0, 0, 0, -0.0, 0, 1.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 1.0, 0], [1.0, 0, 0, 0, 0, -0.0], [0, 0.0, 0.0, 0, 0, 1.0], [0.0, 0, 0, 1.0, 0.0, 0]]",5,"[a, AAC, bC, BC, ccc]","[2, 1, 1, 1, 1]","[[[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 1.0, 0], [0.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0, 0, 0.0, 0.0, 0]], [[0, 0, 0, -0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0.0, 0], [1.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0, -0.0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0.0, 0], [0.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0.0, 0, 0, 0.0], [1.0, 0, 0, 1.0, 1.0, 0]]]",3,,,,True,39.327908899998874,53.21059729999979
ECZ?,3,"[aA, a, AA]","[3, 2, 1]",0.017404999991413206,"[[0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0], [1.0, 0, 0, 0, 0, 0], [0, 1.0, 0.0, 0, 0, 0], [0.0, 0.0, 0, 0, 0, 0]]",4,"[a, AC, bc, Bc]","[2, 2, 1, 1]","[[[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0], [1.0, 0, 0, 0, 0, 0], [0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0, 0, 0, 0]], [[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 0], [0.0, 0, 0, 0, 0, 0], [0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0, 0, 0, 0]], [[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0], [0.0, 0, 0, 0, 0, 0], [0, 0.0, 0.0, 0, 0, 0], [1.0, 0.0, 0, 0, 0, 0]]]",3,,,,True,1.7352131999941776,13.38212680000288
ECZG,3,"[aAA, aA, a]","[2, 2, 2]",0.017440600000554696,"[[0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0], [1.0, 0, 0, 0, 0, 0], [0, 1.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 1.0, 0]]",4,"[aB, AAB, bbB, b]","[2, 1, 1, 2]","[[[0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 0], [0.0, 0, 0, 0, 0, 0], [0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 0.0, 0]], [[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0], [1.0, 0, 0, 0, 0, 0], [0, 1.0, 0.0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0.0, 0]]]",2,,,,True,0.725914599999669,0.689983200005372
